feature,rank,osm_h3_cell_id,osm_h3_cell_id_hex,lat,lon,state_fips,tract_geoid,value,p99,p999,value_over_p99,neighbor_cells_present,neighbor_median,value_over_neighbor_median
osm_intersection_density_per_km2,8,617733345808482303,892a13482d3ffff,40.048235343486155,-75.23085122495813,42,42101021700,2237.0357514994644,234.14729071110702,565.3348397559587,9.55396812282376,6,1223.61516613503,1.8282183920337254
osm_intersection_density_per_km2,9,618205517321601023,8944ea48223ffff,33.41160043566793,-84.59932140831661,13,13113140209,2073.102544594487,234.14729071110702,565.3348397559587,8.85383955671005,6,473.4484582368507,4.378729106680039
osm_intersection_density_per_km2,10,617743623004618751,892aa8d5b73ffff,39.281892409740436,-76.555513987829,24,24510260700,2056.476041100199,234.14729071110702,565.3348397559587,8.78283081924487,6,271.6157707902296,7.571268910922066
osm_intersection_density_per_km2,11,617741557389852671,892a8ac6b37ffff,37.14777926592253,-80.42433617556534,51,51121021102,2054.986359856385,234.14729071110702,565.3348397559587,8.776468664725424,6,1007.2010999578517,2.040293998827424
osm_intersection_density_per_km2,12,618200516362239999,8944a1821bbffff,25.53390454331433,-80.38568302824723,12,12086010709,2050.195338666851,234.14729071110702,565.3348397559587,8.756007094681271,6,849.8503367317528,2.412419281436345
osm_intersection_density_per_km2,13,618196897045938175,89446cd71abffff,29.179608842572584,-94.98057772919708,48,48167726102,2008.7861756682457,234.14729071110702,565.3348397559587,8.579156178008926,6,110.1877176885111,18.23058157304673
osm_intersection_density_per_km2,14,617733345804287999,892a1348293ffff,40.04602000126685,-75.22014970917404,42,42101021700,2007.6984740797711,234.14729071110702,565.3348397559587,8.574510804640857,6,568.8466823643658,3.529419325669498
osm_intersection_density_per_km2,15,617733345869037567,892a134866fffff,40.04839613515721,-75.22663881942923,42,42101021700,2007.5960629282267,234.14729071110702,565.3348397559587,8.574073425454307,6,1438.776941872139,1.3953490666287292
osm_intersection_density_per_km2,16,618203741487890431,8944d070a33ffff,32.79056735515272,-79.94245357899555,45,45019000700,1932.8773925131754,234.14729071110702,565.3348397559587,8.254963730919169,6,982.7057333207754,1.9668933710008634
osm_intersection_density_per_km2,17,618203741495754751,8944d070aabffff,32.78763918897048,-79.94336263414435,45,45019000600,1791.6516023279821,234.14729071110702,565.3348397559587,7.6518143638849,6,1275.8276896371015,1.404305312449836
osm_intersection_density_per_km2,18,617733345808744447,892a13482d7ffff,40.045698740922035,-75.2285740941939,42,42101021700,1787.8078761479412,234.14729071110702,565.3348397559587,7.6353985165421125,6,1013.4249047868892,1.764124670415412
osm_intersection_density_per_km2,19,617743565687095295,892aa80030fffff,38.93642213737736,-76.56281224876172,24,24003701104,1777.9734612825828,234.14729071110702,565.3348397559587,7.593397539996574,6,410.30207386208656,4.3333279906360085
osm_intersection_density_per_km2,20,617733295986180095,892a128e92fffff,40.908660735745364,-74.85136490243163,34,34041031302,1674.5443339807907,234.14729071110702,565.3348397559587,7.151670766273603,6,296.32981953394057,5.650947773715343
osm_intersection_density_per_km2,21,617700440628002815,89283472d3bffff,37.32087234213038,-122.07665601085272,06,06085507705,1667.6383987898437,234.14729071110702,565.3348397559587,7.122176787633176,6,185.79203145474642,8.975833816618945
osm_intersection_density_per_km2,22,617735350931423231,892a3075d77ffff,42.4201812430809,-71.05204379857607,25,25017342202,1639.3073855614289,234.14729071110702,565.3348397559587,7.00118024249967,6,538.749137421352,3.0428028031891547
osm_intersection_density_per_km2,23,617744357903040511,892ab3876cfffff,41.52923872447089,-81.54568923875453,39,39035140400,1603.6512065851216,234.14729071110702,565.3348397559587,6.848899262147434,6,1058.2520422931793,1.5153773793907257
osm_intersection_density_per_km2,24,618204278682288127,8944d841d7bffff,35.10368275786439,-80.94790975546353,37,37119980200,1570.8428415892133,234.14729071110702,565.3348397559587,6.70878077136213,6,251.12542274557455,6.255212333403212
osm_intersection_density_per_km2,25,617741109458370559,892a844206bffff,40.684895138405395,-80.13599712138414,42,42019912101,1559.6141668118216,234.14729071110702,565.3348397559587,6.660825167249478,6,236.30159240183605,6.600100113416348
osm_commercial_residential_mix_ratio,1,617725999446491135,8929a860d87ffff,36.566310228613844,-119.6113477688493,06,06019007002,48.0,0.0,1.0,0.0,6,0.1401098901098901,342.5882352941176
osm_commercial_residential_mix_ratio,2,617725999814541311,8929a862377ffff,36.51389577544008,-119.55329493424253,06,06019007204,31.0,0.0,1.0,0.0,6,0.296875,104.42105263157895
osm_commercial_residential_mix_ratio,3,617713544103460863,8928f32113bffff,46.82243319778752,-123.09115993578492,53,53067012730,28.0,0.0,1.0,0.0,6,0.125,224.0
osm_commercial_residential_mix_ratio,4,618204831007637503,8944e04b6a3ffff,30.45233795732459,-84.27967996104171,12,12073000700,27.0,0.0,1.0,0.0,6,2.833333333333333,9.529411764705884
osm_commercial_residential_mix_ratio,5,617726221134856191,8929ab9ab2fffff,36.78942051830579,-119.79149554458608,06,06019004901,21.0,0.0,1.0,0.0,6,0.2708333333333333,77.53846153846155
osm_commercial_residential_mix_ratio,6,617677901445988351,8926ec75d4bffff,36.69336779859198,-94.96298689969784,40,40115574800,19.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,7,618191240955166719,89441a88863ffff,27.953092834611308,-82.52900686893106,12,12057004602,18.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,8,617676035912630271,8926d1502d7ffff,35.205910984492014,-101.86763135026862,48,48375011900,17.0,0.0,1.0,0.0,6,2.0,8.5
osm_commercial_residential_mix_ratio,9,617684908268847103,8927526c47bffff,44.94659542590065,-93.16727419651656,27,27123033400,16.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,10,617676035871997951,8926d15006bffff,35.19722548845823,-101.84728305804498,48,48375014701,16.0,0.0,1.0,0.0,6,0.16666666666666666,96.0
osm_commercial_residential_mix_ratio,11,617677436449718271,8926e5b195bffff,38.940626027998626,-95.22053374529224,20,20045001002,16.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,12,617676036227989503,8926d1515a3ffff,35.21189622986692,-101.87759436020717,48,48375015300,16.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,13,617713544102936575,8928f321133ffff,46.82063267627115,-123.09487351251042,53,53067012720,16.0,0.0,1.0,0.0,6,0.125,128.0
