nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
," -77.2018)""",,,,329
," -76.9321)""",,,,329
," -77.1536)""",,,,329
," -77.0237)""",,,,327
," -77.0667)""",,,,327
," -77.1257)""",,,,326
210,2199,Crime Against Property,Extortion/Blackmail,EXTORTION (DESCRIBE OFFENSE),325
," -77.0729)""",,,,325
," -77.1869)""",,,,325
," -77.1213)""",,,,324
," -77.098)""",,,,324
," -77.0511)""",,,,324
," -77.0751)""",,,,324
," -77.118)""",,,,323
," -77.1894)""",,,,322
," -77.0477)""",,,,322
," -76.9827)""",,,,321
520,5299,Crime Against Society,Weapon Law Violations,WEAPON OFFENSE (DESCRIBE OFFENSE),320
," -77.1717)""",,,,319
," -76.9463)""",,,,318
," -77.0121)""",,,,317
," -77.06)""",,,,316
," -77.1952)""",,,,316
250,2502,Crime Against Property,Counterfeiting/Forgery,FORGERY OF OTHER,316
," -77.1518)""",,,,316
," -77.2384)""",,,,314
," -77.0622)""",,,,313
," -77.0298)""",,,,313
," -77.2089)""",,,,313
," -77.0503)""",,,,312
," -77.0771)""",,,,311
," -77.0732)""",,,,310
," -77.1494)""",,,,309
," -77.1507)""",,,,308
," -77.2049)""",,,,307
," -77.0697)""",,,,307
," -77.0738)""",,,,306
," -77.2048)""",,,,305
," -77.0371)""",,,,305
," -77.0052)""",,,,304
," -77.1637)""",,,,303
," -76.942)""",,,,303
," -77.2417)""",,,,302
," -77.0762)""",,,,301
," -77.2473)""",,,,301
," -77.2426)""",,,,300
," -77.0652)""",,,,299
," -77.0027)""",,,,299
," -77.0146)""",,,,299
," -77.0064)""",,,,299
," -77.0934)""",,,,298
," -77.1603)""",,,,298
," -77.1134)""",,,,298
," -77.0462)""",,,,297
," -76.9666)""",,,,296
," -77.1157)""",,,,295
," -77.2054)""",,,,294
," -77.0988)""",,,,294
," -77.2252)""",,,,294
," -77.1067)""",,,,294
," -77.1534)""",,,,292
," -77.2458)""",,,,291
," -77.1792)""",,,,290
," -77.2199)""",,,,290
," -77.2045)""",,,,290
," -77.105)""",,,,290
," -77.1836)""",,,,290
," -77.0959)""",,,,289
," -76.994)""",,,,289
," -77.2073)""",,,,289
," -77.0643)""",,,,288
," -77.0012)""",,,,288
," -77.1594)""",,,,288
90Z,9023,Crime Against Society,All Other Offenses,JUVENILE - OTHER,287
," -76.932)""",,,,287
," -77.2788)""",,,,287
," -77.1146)""",,,,286
," -77.0269)""",,,,286
," -77.2576)""",,,,285
," -76.9532)""",,,,285
," -77.2372)""",,,,285
," -77.2438)""",,,,284
," -77.1915)""",,,,284
," -77.1676)""",,,,282
," -77.1509)""",,,,281
," -77.1155)""",,,,281
," -77.2745)""",,,,281
," -77.2209)""",,,,280
," -77.0708)""",,,,280
," -77.0447)""",,,,278
