offense_desc,offense,nature_of_call,geocodescore,source_file_uri
PC 28.03(b)(2) Criminal Mischief >=$100<$750,290,CRIMINAL MISCHIEF,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
HSC 365.012(E) Illegal Dumping >5 lbs<500 lbs or >,90Z,DUMPING,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 42.07(C) Harassment,90Z,HARASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 42.092(c) CRUELTY NON-LIVESTOCK:FAIL PRV/ABDN/T,720,ANIMAL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 32.21(C) Forgery,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 31.03 Theft- Auto parts/accessories only/gas,23G,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 31.03 - PERSON Theft - From Person,23A,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2006/00000000.parquet
CCP 62 Fail to Register as Sex Offender,90Z,SEX REGIST,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 22.01(A)(1) Assault Causes Bodily Injury,13B,ASSAULT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 28.03 Criminal Mischief,290,CRIM MISCH,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
