description,row_count
"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE NO VIN",9
PIMPING,8
EDUCATIONAL INTIMIDAITON,8
PANDERING,8
UNLAWFUL USE OF BODY ARMOR,8
MANUFACTURE / DELIVER - HEROIN (BLACK TAR),7
UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,7
ANIMAL FIGHTING,7
UNLAWFUL SALE OTHER FIREARM,7
INTERFERE W/ HIGHER EDUCATION,7
"PUBLIC AIR WIRE AND MAIL FRAUD - VIA WIRE, RADIO, TELEVISION",6
SELL/ADVERTISE FIREWORKS,6
STRONGARM: NO WEAPON,6
ATTEMPT AGGRAVATED - OTHER DANGEROUS WEAPON,5
COMPOUNDING A CRIME,5
FORNICATION,5
INTERNET OFFENSES - ELECTRONIC FENCING,5
ARSONIST - FAIL TO REGISTER NEW ADDRESS,5
"ATTEMPT - CYCLE, SCOOTER, BIKE NO VIN",5
MANU/DELIVER:HEROIN(BLACK TAR),5
MINOR MISREPRESENT AGE,5
ATTEMPT AGG: OTHER DANG WEAPON,5
POSSESSION - SYNTHETIC MARIJUANA,5
AGGRAVATED: OTHER DANGEROUS WEAPON,4
JUVENILE PIMPING,4
COMPELLING ORG MEMBERSHIP,4
KEEP PLACE OF PROSTITUTION,4
AIDING ARRESTEE ESCAPE,4
PATRONIZE JUVENILE PROSTITUTE,4
INVOLUNTARY MANSLAUGHTER,4
POSSESS KEYS OR DEVICE TO COIN MACHINE,4
SALE OF TOBACCO PRODUCTS TO MINOR,4
ARSONIST: FAIL TO REGISTER NEW ADDRESS,3
ALTER COINS,3
AGGRAVATED DOMESTIC BATTERY: OTHER DANGEROUS WEAPON,3
CONCEALING/AIDING A FUGITIVE,3
ARSONIST: DUTY TO REGISTER,3
AGGRAVATED DOMESTIC BATTERY - OTHER FIREARM,3
POSSESS - HYPODERMIC NEEDLE,3
GAME / AMUSEMENT DEVICE,3
COMPELLING CONFESSION,3
"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",3
REFUSING TO AID AN OFFICER,3
USE OF METAL PIERCING BULLETS,3
AGGRAVATED: KNIFE / CUTTING INSTRUMENT,2
MANUFACTURE / DELIVER - LOOK-ALIKE DRUG,2
IN TAVERN,2
EMPLOY MINOR,2
AGGRAVATED DOMESTIC BATTERY: KNIFE / CUTTING INSTSTRUMENT,2
KEEPING PLACE OF PROSTITUTION,2
ATTEMPT AGGRAVATED - OTHER FIREARM,2
INTERNET OFFENSES - INTENT OF ONLINE SALE OF STOLEN PROPERTY,1
SALE OF OBSCENE MATERIALS,1
"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",1
INTERFERE WITH HIGHER EDUCATION,1
CONTRABAND IN PRISON,1
AGGRAVATED PO: OTHER DANGEROUS WEAPON,1
POSS. KEYS OR DEV.TO COIN MACH,1
FAILURE TO MAINTAIN RECORDS - CONTROLLED SUBSTANCES,1
POS: CHEMICAL/DRY-ICE DEVICE,1
THEFT RETAIL,1
DELIVER CONTROLLED SUBSTANCES TO PERSON UNDER 18,1
AGGRAVATED: HANDS / FIST / FEET SERIOUS INJURY,1
POSSESSION - CHEMICAL / DRY-ICE DEVICE,1
ATTEMPT ARMED: HANDGUN,1
SECOND DEGREE MURDER,1
CAB OPERATION,1
AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,1
DISCLOSE DOMESTIC VIOLENCE VICTIM LOCATION,1
ATTEMPT AGG: OTHER FIREARM,1
AGGRAVATED: HANDS / FIST / FEET NO / MINOR INJURY,1
PROTECTED EMPLOYEE: HANDS NO / MIN INJURY,1
SALE/DEL HYPODERMIC NEEDLE,1
"AGG. RITUAL MUTILATION - HANDS, FISTS, FEET, SERIOUS INJURY",1
FAIL REGISTER LIC:CONT SUBS,1
CALCULATED CANNABIS CONSPIRACY,1
ATTEMPT STRONG ARM: NO WEAPON,1
