report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Initial Supplement,"Robbery, Att., Bank, W/ Gun",Robbery - Commercial,IS,Robbery,03461,6
Initial,"Assault, Att. Mayhem, W/ Force",Aggravated Assault,II,Assault,04054,6
Initial,"Firearm Silencer, Possession",Weapons Offense,II,Weapons Carrying Etc,12090,6
Initial,"Robbery, Service Station W/ Other Weapon",Robbery - Commercial,II,Robbery,03033,6
Vehicle Initial,Embezzlement (general),Embezzlement,VI,Embezzlement,10090,6
Vehicle Initial,"Malicious Mischief, Vandalism to Property",Vandalism,VI,Malicious Mischief,28150,6
Initial,"Hazardous Materials, Dumping in Unauthorized Location",Non-Criminal,II,Non-Criminal,72023,6
Initial Supplement,"Robbery,  ATM, Force.",Robbery - Other,IS,Robbery,03094,6
Initial,"Police Broadcast, Interception to Commit Crime",Other,II,Other Miscellaneous,27174,6
Initial,Perjury,Other,II,Other Miscellaneous,26160,6
Initial Supplement,"Robbery, Residence, W/ Other Weapon",Robbery - Commercial,IS,Robbery,03053,6
Initial Supplement,"Vehicle, Open Container Of Alcohol In",Liquor Law Violation,IS,Other Miscellaneous,65055,6
Initial,Trespassing or Loitering Near Posted Industrial Property,Trespass,II,Other Miscellaneous,27197,6
Initial Supplement,Kidnapping during Carjacking,Kidnapping,IS,Other Miscellaneous,26149,6
Vehicle Initial,"Burglary, Non-residential, Forcible Entry",Burglary - Other,VI,Burglary,05151,6
Vehicle Supplement,"Identification To Peace Officer, False",Fraud,VS,Other Miscellaneous,27065,6
Initial,"Rape, Spousal",Rape,II,Rape,02005,6
Initial,Labor Code Violation,Other,II,Other Miscellaneous,27210,6
Vehicle Initial,"Fraudulent Game or Trick, Obtaining Money or Property",Fraud,VI,Fraud,09024,6
Initial,"Robbery, Bank, W/ Knife",Robbery - Commercial,II,Robbery,03062,6
Initial Supplement,"House of Prostitution, Keeping or Residing in",Prostitution,IS,Prostitution,13010,6
Initial,"Eavesdropping Devices, Sale or Use",Fraud,II,Fraud,09270,6
Initial Supplement,"Firearm, Possession of While Wearing Mask",Weapons Offense,IS,Weapons Carrying Etc,12169,6
Initial Supplement,"Shooting, Accidental",Non-Criminal,IS,Non-Criminal,51030,6
Initial,Obscene Movies or Acts,Other,II,Other Offenses,30070,5
Initial Supplement,"Identification, Government, Possess, Make or Sell False",Fraud,IS,Fraud,09166,5
Initial,Megan's Law Notification,Other,II,Offences Against The Family And Children,15097,5
Initial Supplement,"Rape, Forcible, W/ Force",Rape,IS,Rape,02004,5
Vehicle Initial,"Theft, Vehicle Strip, >$950",Larceny - Auto Parts,VI,Larceny Theft,06234,5
Initial Supplement,Graffiti on Government Vehicles or Public Transportation,Vandalism,IS,Malicious Mischief,28169,5
Coplogic Initial,"Money, Property or Labor, Fraudulently Obtaining",Stolen Property,II,Stolen Property,09031,5
Initial Supplement,"Burglary, Warehouse, Att. Forcible Entry",Burglary - Commercial,IS,Burglary,05062,5
Initial Supplement,"Public Health Order Violation, Notification",,IS,,27400,5
Vehicle Initial,"Theft, From Building, <$50",Larceny Theft - From Building,VI,Larceny Theft,06301,5
Initial Supplement,"Burglary, Apt Under Constr., Unlawful Entry",Burglary - Residential,IS,Burglary,05113,5
Initial,"Theft, Coin Operated Machine, Att.",Larceny Theft - Other,II,Larceny Theft,06340,5
Vehicle Initial,"Vehicle, Impounded",Vehicle Impounded,VI,Vehicle Impounded,07053,5
Vehicle Supplement,Conspiracy,Other,VS,Other Miscellaneous,26080,5
Initial Supplement,"Burglary, Other Bldg. Under Constr., Att. Forcible",Burglary - Other,IS,Burglary,05172,5
Initial Supplement,"Robbery,  ATM, Other Weapon",Robbery - Other,IS,Robbery,03093,5
Coplogic Supplement,"Access Card Information, Theft of",Fraud,IS,Fraud,09164,5
Initial Supplement,"Burglary, Hotel Room, Forcible Entry",Burglary - Residential,IS,Burglary,05031,5
Vehicle Initial,Battery,Simple Assault,VI,Assault,04134,5
Initial Supplement,"Robbery, Service Station, W/ Force",Robbery - Commercial,IS,Robbery,03034,5
Initial,"Sexual Contact with Patient, former Patient",Sex Offense,II,Sex Offense,14031,5
Initial,"Burglary, Warehouse Under Constr, Unlawful Entry",Burglary - Commercial,II,Burglary,05163,5
Initial,Kidnapping for Ransom or Extortion,Kidnapping,II,Other Miscellaneous,26140,5
Initial,"Conceal Crime or Withhold Evidence, Accepting Payment to",Bribery,II,Other Miscellaneous,26061,5
Initial,VIN Switch,Other,II,Other Miscellaneous,07203,5
Initial,"Firearms, Seizing at Scene of DVU",Other,II,Offences Against The Family And Children,15154,5
Initial Supplement,Other Offenses Against Public Justice,Other,IS,Other Miscellaneous,27066,5
Initial,"Taxi Fare, Overcharging",Other,II,Other Offenses,30120,5
Vehicle Initial,Trespassing,Trespass,VI,Other Miscellaneous,27195,5
Initial,"Procurement, Pimping, & Pandering",,II,,13072,5
Initial Supplement,"Weapon, Deadly, Exhibiting to Resist Arrest",Other,IS,Other Miscellaneous,27173,5
Coplogic Initial,"Theft, From Locked Vehicle, Att.",Larceny - From Vehicle,II,Larceny Theft,06240,5
Initial Supplement,Discharging Offensive or Injurious Substance in Public Area,Other Offenses,IS,Other Offenses,68055,5
Initial,"Endless Chain Schemes, Ponzi Schemes",Fraud,II,Fraud,09023,5
Initial Supplement,"Weapon, Deadly, Possession W/ Intent To Assault",Weapons Offense,IS,Weapons Offense,12060,5
Vehicle Supplement,"Burglary, Store, Forcible Entry",Burglary - Commercial,VS,Burglary,05051,5
Vehicle Supplement,"Vehicle, Stolen, Mobile Home or House Trailer",Motor Vehicle Theft,VS,Motor Vehicle Theft,07024,5
Initial Supplement,"Vehicle, Rental, Failure to Return",Embezzlement,IS,Embezzlement,07056,5
Initial,"Assault, Aggravated, On Police Officer, W/ Gun",Aggravated Assault,II,Assault,04093,5
Initial Supplement,"Cellular or Cordless Phone Communications, Intercepting",Fraud,IS,Fraud,09269,5
Vehicle Initial,Lost Property,Lost Property,VI,Lost Property,71000,5
Initial Supplement,"Robbery, Residence, W/ Knife",Robbery - Commercial,IS,Robbery,03052,5
Initial,Harbor & Navigations Code Violation (general),Other,II,Other Miscellaneous,65080,5
Initial Supplement,Liquor Law Violation (general),Liquor Law Violation,IS,Liquor Laws,17030,5
Vehicle Supplement,"Burglary Tools, Possession Of w/prior",Other,VS,Other Miscellaneous,27131,5
Initial Supplement,"Robbery, Bank, W/ Knife",Robbery - Commercial,IS,Robbery,03062,5
Initial Supplement,Damage To Mail Box,Vandalism,IS,Malicious Mischief,28030,5
Initial,"Opium Derivative, Possession For Sale",Drug Violation,II,Drug Offense,16320,4
Vehicle Supplement,Arson of Vehicle,Arson,VS,Arson,26031,4
Initial,"Burglary, Safe,  Hotel",Burglary - Residential,II,Burglary,05231,4
Initial Supplement,"Marijuana, Sales",Drug Violation,IS,Drug Offense,16040,4
Initial Supplement,"Amphetamine, Possession For Sale",Drug Violation,IS,Drug Offense,16642,4
Vehicle Initial,"Identification To Peace Officer, False",Fraud,VI,Other Miscellaneous,27065,4
Initial Supplement,"Dog, Stray or Vicious",Other,IS,Non-Criminal,64012,4
Initial Supplement,"School Property, Disturbance on",Disorderly Conduct,IS,Disorderly Conduct,19081,4
Initial,Trespass within 30 days of Credible Threat,Disorderly Conduct,II,Disorderly Conduct,19058,4
Initial,Lotteries (general),Gambling,II,Gambling,66050,4
Vehicle Initial,"Robbery, W/ Force",Robbery - Other,VI,Robbery,03074,4
Initial,"Cloned Cellular Phone, Use",,II,,06399,4
Initial Supplement,Defrauding Gas Station/Taxi Driver,Other,IS,Other Offenses,30030,4
Vehicle Initial,"Theft, From Unlocked Vehicle, $200-$950",Larceny - From Vehicle,VI,Larceny Theft,06223,4
Initial,"Wiretaps, Unauthorized",Fraud,II,Fraud,09268,4
Vehicle Supplement,"Vehicle, Tampering",Vandalism,VS,Vandalism,07100,4
Initial Supplement,"Theft, Trick & Device, Misd.",Fraud,IS,Fraud,10110,4
Initial Supplement,"Theft, Bicycle, <$50, serial number known",Larceny Theft - Bicycle,IS,Larceny Theft,06315,4
Vehicle Supplement,"Traffic Collision, Hit & Run, Injury",Traffic Collision - Hit & Run,VS,Traffic Collision,68069,4
Initial,"Suicide By Asphyxiation, Att.",Suicide,II,Suicide,60020,4
Initial Supplement,"Embezzlement, Grand Theft By Brokers/Agents",Embezzlement,IS,Embezzlement,10025,4
Vehicle Initial,"Theft, Other Property, $50-$200",Larceny Theft - Other,VI,Larceny Theft,06372,4
Vehicle Supplement,"Theft, Vehicle Strip, >$950",Larceny - Auto Parts,VS,Larceny Theft,06234,4
Initial Supplement,"Death, Non-manslaughter Vehicle Accident",Other,IS,Other,61020,4
Initial Supplement,"Theft, Purse Snatch, $200-$950",Larceny Theft - Purse Snatch,IS,Larceny Theft,06133,4
Initial,"Theft, Motorcycle Strip, $50-$200",Larceny - Auto Parts,II,Larceny Theft,06212,4
Initial Supplement,"Alcohol, License Required To Sell",Liquor Law Violation,IS,Liquor Laws,17020,4
Initial Supplement,Suicide By Jumping,Suicide,IS,Suicide,60170,4
Initial,"Embezzlement, Petty Theft, Leased Property",Embezzlement,II,Embezzlement,10060,4
Initial,"Theft, Drunk Roll, Att.",Larceny Theft - Other,II,Larceny Theft,06120,4
Initial,"Assault, Mayhem, W/ Gun",Aggravated Assault,II,Assault,04061,4
Initial,"Robbery,  ATM, Other Weapon, Att.",Robbery - Other,II,Robbery,03493,4
Initial,Suicide By Ingestion,Suicide,II,Suicide,60160,4
Initial Supplement,Loitering Without Lawful Business With Owner or Occupant,Loitering,IS,Other Miscellaneous,27198,4
Initial Supplement,"Burglary, Hotel Under Constr., Forcible Entry",Burglary - Residential,IS,Burglary,05131,4
Initial,"License Plate, Lost",Other Offenses,II,Other Offenses,71010,4
Initial,"Access Card Information, Publication of",Fraud,II,Fraud,09165,4
Initial,Evading Payment of Railroad Fare,Larceny Theft - Other,II,Other Miscellaneous,27201,4
Vehicle Supplement,Embezzlement (general),Embezzlement,VS,Embezzlement,10090,4
Initial Supplement,"Fireworks, Throw at Person or Discharge in Crowd",Other,IS,Other Miscellaneous,27185,4
Vehicle Initial,"Theft, From Unlocked Vehicle, <$50",Larceny - From Vehicle,VI,Larceny Theft,06221,4
Initial,"Suicide By Firearms, Att.",Suicide,II,Suicide,60050,4
Vehicle Supplement,"Weapon, Carrying Concealed",Weapons Offense,VS,Weapons Offense,12015,4
Initial,"Burglary, Warehouse Under Constr, Forcible Entry",Burglary - Commercial,II,Burglary,05161,4
Initial,"Robbery, Att., Service Station, W/ Gun",Robbery - Commercial,II,Robbery,03431,4
Initial Supplement,Peddling Without A License,Other,IS,Other Offenses,30130,4
Vehicle Initial,False Personation,Fraud,VI,Fraud,09027,4
Initial,"Drug Offender, Presence  near School Grounds",Other,II,Disorderly Conduct,19086,4
Vehicle Supplement,Traffic Violation Arrest,Traffic Violation Arrest,VS,Traffic Violation Arrest,65010,4
Vehicle Initial,"Theft, From Building, $200-$950",Larceny Theft - From Building,VI,Larceny Theft,06303,4
Initial,"Burglary, Flat Under Constr., Att. Forcible",Burglary - Residential,II,Burglary,05122,4
Vehicle Initial,"Assault, Aggravated, W/ Other Weapon",Aggravated Assault,VI,Assault,04013,4
Initial Supplement,"Theft, Bicycle, $50-$200",Larceny Theft - Bicycle,IS,Larceny Theft,06312,4
Initial Supplement,"Assault, Att. Mayhem, W/ Other Weapon",Aggravated Assault,IS,Assault,04053,4
Initial Supplement,"Homicide, W/ Other Weapon",Homicide,IS,Homicide,01003,4
Vehicle Initial,False Personation to Receive Money or Property,Fraud,VI,Fraud,09029,4
Initial,"Narcotics Addict, Failure To Register",Drug Violation,II,Drug Offense,16750,4
Initial,"Embezzlement, Grand Theft Private Property",Embezzlement,II,Embezzlement,10075,4
Initial Supplement,"Theft of Telecommunication Services, incl. Clone Phone",Larceny Theft - Other,IS,Larceny Theft,06398,4
Initial Supplement,"Theft, From Person, Att. (other than Pickpocket)",Larceny Theft - Other,IS,Larceny Theft,06150,4
Vehicle Supplement,"Weapon, Prohibited, Possession, Sale, Mfg., Import",Weapons Offense,VS,Weapons Carrying Etc,12120,4
Initial,"Theft, Drunk Roll, <$50",Larceny Theft - Other,II,Larceny Theft,06121,4
Initial,SFMTA Employee-Non Operator/Station Agent-Other Employee,,II,,74022,4
Initial Supplement,"Audiovisual (Video or Sound) Recordings, Unauthorized",Fraud,IS,Fraud,09271,4
Initial Supplement,"Burglary, Warehouse Under Constr, Forcible Entry",Burglary - Commercial,IS,Burglary,05161,4
Initial Supplement,Perjury,Other,IS,Other Miscellaneous,26160,4
Initial Supplement,"Robbery, Att., Service Station, W/ Gun",Robbery - Commercial,IS,Robbery,03431,4
Initial Supplement,Unemployment Insurance Act Violation,Other,IS,Other Miscellaneous,27220,4
Initial Supplement,"Weapon, Concealed, Loitering While Carrying",Weapons Offense,IS,Weapons Offence,12050,4
Initial Supplement,"Oral Copulation, Unlawful (Adult Victim)",Rape,IS,Rape,14052,4
Initial Supplement,"Assault, Att. Mayhem, W/ Force",Aggravated Assault,IS,Assault,04054,3
Vehicle Initial,"Theft, Boat",Larceny Theft - Other,VI,Larceny Theft,06375,3
Vehicle Supplement,Opiates Offense,Drug Violation,VS,Drug Offense,16210,3
Initial Supplement,Engaging In Lewd Act,Disorderly Conduct,IS,Disorderly Conduct,13115,3
Initial,"Prisoner, Rescuing From Lawful Custody",Other,II,Other Miscellaneous,26175,3
Vehicle Supplement,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Fraud,VS,Fraud,09320,3
Vehicle Initial,"Theft, From Person, >$950 (other than Pickpocket)",Larceny Theft - Other,VI,Larceny Theft,06154,3
Initial Supplement,"Fire Protection Equipment, Tampering with",Vandalism,IS,Malicious Mischief,28020,3
Vehicle Initial,Kidnapping during Carjacking,Kidnapping,VI,Other Miscellaneous,26149,3
Initial Supplement,"Arson, Portable Toilet",Arson,IS,Arson,26037,3
Initial,School Student or Employee Entering  Campus after Suspension or Dismissal,Loitering,II,Disorderly Conduct,19088,3
Coplogic Supplement,"Theft, Shoplifting, $200-$950",Larceny Theft - Shoplifting,IS,Larceny Theft,06363,3
Vehicle Initial,"Assault, Aggravated, W/ Force",Aggravated Assault,VI,Assault,04014,3
Initial Supplement,Suicide By Laceration/Stabbing,Suicide,IS,Suicide,60180,3
Initial,"Hazardous Materials,  Dump any Substance into Water",Non-Criminal,II,Non-Criminal,71019,3
Initial Supplement,"Switchblade Knife, Possession",Weapons Offense,IS,Weapons Carrying Etc,12164,3
Vehicle Supplement,Arson,Arson,VS,Arson,26030,3
Initial,"Theft, Phone Booth, $50-$200",,II,,06352,3
Initial,"Aerosol Paint & Marker Pens, Display & Storage",Other,II,Other Offenses,30192,3
Initial Supplement,"Aerosol Paint & Marker Pens, Display & Storage",Other,IS,Other Offenses,30192,3
Initial Supplement,"School, Public, Trespass",Trespass,IS,Disorderly Conduct,19082,3
Initial Supplement,"Vehicle, Misplaced",Vehicle Misplaced,IS,Vehicle Misplaced,07054,3
Initial Supplement,"Civil Sidewalks, Citation",Other,IS,Civil Sidewalks,64002,3
Vehicle Initial,"Ammunition, Poss. By Prohibited Person",Weapons Offense,VI,Weapons Carrying Etc,12173,3
Initial,"Assault, Commission of While Armed",,II,,12020,3
Initial,"Cable TV Connection or Decoding Device, Unauthorized",Fraud,II,Fraud,09265,3
Initial Supplement,"Financial Statements, False",Fraud,IS,Fraud,09167,3
Initial Supplement,"Robbery, Att., Comm. Establ. W/ Knife",Robbery - Commercial,IS,Robbery,03422,3
Initial Supplement,"Manslaughter, Accidental, W/ Other Weapon",Manslaughter,IS,Homicide,01133,3
Initial Supplement,"Opium Derivative, Possession For Sale",Drug Violation,IS,Drug Offense,16320,3
Initial,"Explosives, Illegal Transportation",Weapons Offense,II,Weapons Carrying Etc,12150,3
Initial Supplement,"Suicide By Jumping, Att.",Suicide,IS,Suicide,60070,3
Initial Supplement,"Robbery, Att., Comm. Establ. With Other Weapon",Robbery - Commercial,IS,Robbery,03423,3
Initial Supplement,"Assault, Att. Homicide, Explosives",Aggravated Assault,IS,Assault,04026,3
Initial Supplement,"Vehicle, Throwing Substance At",Other,IS,Other Miscellaneous,65070,3
Vehicle Initial,"Theft, Other Property, $200-$950",Larceny Theft - Other,VI,Larceny Theft,06373,3
Initial Supplement,"Robbery,  ATM, Knife",Robbery - Other,IS,Robbery,03092,3
Vehicle Supplement,"Warrant Arrest, Enroute To Dept. Of Corrections",Warrant,VS,Warrant,62020,3
Initial,Lynching by Riot,Disorderly Conduct,II,Disorderly Conduct,19032,3
Initial Supplement,"Theft, Short Change, >$950",Larceny Theft - Other,IS,Larceny Theft,10145,3
Initial Supplement,"Burglary, Hotel Under Constr., Unlawful Entry",Burglary - Residential,IS,Burglary,05133,3
Initial,"Rape, Assault To, W/ Other Weapon",Rape - Attempted,II,Rape,02103,3
Initial Supplement,"Theft, Coin Operated Machine, $200-$950",Larceny Theft - Other,IS,Larceny Theft,06343,3
Initial,"Vehicle, Misplaced",Vehicle Misplaced,II,Vehicle Misplaced,07054,3
Initial Supplement,"Conceal Crime or Withhold Evidence, Accepting Payment to",Bribery,IS,Other Miscellaneous,26061,3
Initial,"Forgery, Government Or Corporate Seals",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09140,3
Initial,Impersonating Fire Department Member,Other,II,Other Miscellaneous,27071,3
Initial Supplement,"Homicide, W/ Force",Homicide,IS,Homicide,01004,3
Initial,Wearing Mask or Disguise for Unlawful Purpose,Other,II,Other Miscellaneous,09021,3
Vehicle Supplement,"Theft, From Locked Vehicle, $200-$950",Larceny - From Vehicle,VS,Larceny Theft,06243,3
Initial,Escapes,Other,II,Other Miscellaneous,26177,3
Vehicle Initial,"Assault, Aggravated, W/ Gun",Aggravated Assault,VI,Assault,04011,3
Vehicle Supplement,Aided Case,Non-Criminal,VS,Non-Criminal,51040,3
Initial Supplement,"Abortion, Unlawful",Other,IS,Other Miscellaneous,26010,3
Initial,"Homicide, W/ Other Weapon",Homicide,II,Homicide,01003,3
Vehicle Initial,Aided Case,Non-Criminal,VI,Non-Criminal,51040,3
Initial,"Gambling Paraphernalia, Possession",Gambling,II,Gambling,66040,3
Initial Supplement,"Robbery, Att., Chain Store, W/ Other Weapon",Robbery - Commercial,IS,Robbery,03443,3
Initial Supplement,Military Ordinance,,IS,,12075,3
Vehicle Initial,"Weapon, Prohibited, Possession, Sale, Mfg., Import",Weapons Offense,VI,Weapons Carrying Etc,12120,3
Vehicle Initial,"Robbery, Street or Public Place, W/ Gun",Robbery - Street,VI,Robbery,03011,3
Vehicle Initial,"Burglary, Flat, Unlawful Entry",Burglary - Residential,VI,Burglary,05023,3
Initial Supplement,"Penetration, Forced, with Object",Rape,IS,Rape,02020,3
Initial Supplement,Obstructing Public Thoroughfare  (or 647(c) PC),Loitering,IS,Disorderly Conduct,19060,3
Vehicle Initial,"Robbery, Street or Public Place, W/ Force",Robbery - Street,VI,Robbery,03014,3
Initial Supplement,"Burglary, Hotel Room, Att. Forcible Entry",Burglary - Residential,IS,Burglary,05032,3
Initial,Assault During Labor Dispute,Simple Assault,II,Assault,04124,3
Initial Supplement,"Destructive Device, Possession of Materials",Weapons Offense,IS,Weapons Offense,12024,3
Initial Supplement,"Wiretaps, Unauthorized",Fraud,IS,Fraud,09268,3
Initial Supplement,"Disturbing The Peace, Commotion",Disorderly Conduct,IS,Disorderly Conduct,19020,3
Vehicle Supplement,"Robbery, Comml. Establ., W/ Gun",Robbery - Commercial,VS,Robbery,03021,3
Initial,Human Trafficking (B)-Involuntary Servitude (not sex-related),"Human Trafficking, Involuntary Servitude",II,"Human Trafficking (B), Involuntary Servitude",13080,3
Initial Supplement,Sales of Cocaine Base/Schoolyard Trafficking Act Violation,Drug Violation,IS,Drug Offense,16629,3
Initial,"Hypodermic Needle or Syringe, Possession",Drug Violation,II,Drug Offense,16711,3
Vehicle Initial,"Theft, Grand, of Firearm",Larceny Theft - Other,VI,Larceny Theft,06386,3
Initial Supplement,"Civil Rights, incl. Injury, Threat, or Damage (Hate Crimes)",Intimidation,IS,Disorderly Conduct,19053,3
Initial Supplement,Pimping,"Human Trafficking, Commercial Sex Acts",IS,"Human Trafficking, Commercial Sex Acts",13030,3
Initial,"Vehicle Alarm Code Grabbing Device, Possess or Use",Other,II,Other Miscellaneous,07205,3
Initial,"Destructive Device, Possession of Materials",Weapons Offense,II,Weapons Offense,12024,3
Initial,"Homicide, W/ Sharp Object",Homicide,II,Homicide,01002,3
Vehicle Supplement,"Driving, Reckless",Other,VS,Other Miscellaneous,65020,3
Initial,Push-cart Peddler Permit Violation,Other,II,Other Offenses,30009,3
Initial,"Burglary, Safe, Apartment",Burglary - Residential,II,Burglary,05211,3
Initial Supplement,Maintain Premise Where Narcotics Are Sold/used,Drug Violation,IS,Drug Offense,16705,3
Initial,"Arson, Police Vehicle",Arson,II,Arson,26034,3
Initial,"Robbery, Att., Residence, W/ Other Weapon",Robbery - Residential,II,Robbery,03453,3
Initial,Soliciting Commission Of A Crime,Other,II,Other Miscellaneous,26180,3
Initial Supplement,Vandalism with Noxious Chemical,Vandalism,IS,Malicious Mischief,28167,3
Initial Supplement,Post Release Community Supervision,Other,IS,Warrant,62072,3
Initial Supplement,"Theft, From Unlocked Vehicle, Att.",Larceny - From Vehicle,IS,Larceny Theft,06220,3
Initial,"Burglary, Safe,  Warehouse",Burglary - Commercial,II,Burglary,05261,3
Vehicle Initial,"Theft, From Building, $50-$200",Larceny Theft - From Building,VI,Larceny Theft,06302,3
Vehicle Initial,Kidnapping (Adult victim),Kidnapping,VI,Other Miscellaneous,26141,3
Initial Supplement,"Eavesdropping Devices, Sale or Use",Fraud,IS,Fraud,09270,3
Coplogic Initial,"Phone Calls, Threatening or Annoying",Disorderly Conduct,II,Disorderly Conduct,19050,3
Initial,"Alcoholic Beverage, Procuring Sale of",Liquor Law Violation,II,Liquor Laws,17071,2
Initial,Retaking Goods from Peace Officer,Other,II,Other Miscellaneous,26178,2
Initial Supplement,"Counterfeit/Forgery, Poss Drivers Lic Or Id Card",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09125,2
Initial,"Obstructing Health Facility, Place of Worship, or School",Loitering,II,Disorderly Conduct,19076,2
Initial Supplement,Loitering and Peeking into Inhabited Structure,Other Offenses,IS,Other Offenses,64040,2
Initial,"School Grounds, Entry by Sex Offender",Other,II,Disorderly Conduct,19084,2
Initial,"Barbiturates, Possession",Drug Violation,II,Drug Offense,16510,2
Initial,"Hallucinogenic, Transportation",Drug Violation,II,Drug Offense,16440,2
Vehicle Supplement,"Theft, Boat",Larceny Theft - Other,VS,Larceny Theft,06375,2
Initial Supplement,"Rail Transit, Entering, Remaining, or Hindering Operation of",Other,IS,Other Miscellaneous,27030,2
Initial,Safekeeping Property (Pierce's Pledge),,II,,73002,2
Initial Supplement,"Robbery, Att., Residence, W/ Gun",Robbery - Residential,IS,Robbery,03451,2
Initial,"Bribery or Gratuity,  Public Employees",Bribery,II,Other Miscellaneous,26050,2
Initial Supplement,Suicide,Suicide,IS,Suicide,60110,2
Vehicle Supplement,"Theft, From Locked Vehicle, <$50",Larceny - From Vehicle,VS,Larceny Theft,06241,2
Vehicle Initial,"Cocaine, Base/rock, Possession For Sale",Drug Violation,VI,Drug Offense,16623,2
Vehicle Initial,Fraudulent Use Of Automated Teller Card,Fraud,VI,Fraud,09250,2
Initial Supplement,"Embezzlement, Grand Theft Leased Property",Embezzlement,IS,Embezzlement,10065,2
Initial,"Weapon, Deadly, Possession of to Violate 136.1 PC",Weapons Offense,II,Weapons Carrying Etc,12160,2
Initial,Terrorizing by Interfering with Religious Worship,Intimidation,II,Offences Against The Family And Children,15302,2
Initial Supplement,"Homicide, Excusable, W/ Sharp Object",Homicide - Excusable,IS,Homicide,01062,2
Vehicle Supplement,"Warrant Arrest, Enroute To Parole",Warrant,VS,Warrant,62030,2
Vehicle Supplement,Property for Identification,Non-Criminal,VS,Non-Criminal,73000,2
Initial Supplement,"Robbery, Service Station W/ Other Weapon",Robbery - Commercial,IS,Robbery,03033,2
Initial Supplement,Suicide By Strangulation/Hanging,Suicide,IS,Suicide,60190,2
Initial,"Alcohol, Furnish or Sell to Intox. Person",Liquor Law Violation,II,Liquor Laws,17110,2
Initial,Escape From Hospital With Force,Other,II,Other Miscellaneous,26095,2
Vehicle Supplement,"Malicious Mischief, Vandalism to Property",Vandalism,VS,Malicious Mischief,28150,2
Initial Supplement,"Robbery, Att., Residence, W/ Knife",Robbery - Residential,IS,Robbery,03452,2
Vehicle Supplement,"Burglary, Warehouse, Unlawful Entry",Burglary - Commercial,VS,Burglary,05063,2
Initial Supplement,"Chop Shop, Own or Operate",Other,IS,Other Miscellaneous,07204,2
Initial Supplement,"Theft, Drunk Roll, >$950",Larceny Theft - Other,IS,Larceny Theft,06124,2
Initial Supplement,Maintaining A Public Nuisance,Disorderly Conduct,IS,Other Miscellaneous,27100,2
Vehicle Initial,"Assault, Aggravated, W/ Knife",Aggravated Assault,VI,Assault,04012,2
Initial,"Theft, By Prostitute, <$50",Larceny Theft - Other,II,Larceny Theft,06141,2
Vehicle Supplement,"Weapon, Tear Gas, Possession by Prohibited Persons",Weapons Offense,VS,Weapons Carrying Etc,12130,2
Initial Supplement,Soliciting to Visit House Of Prostitution,Prostitution,IS,Prostitution,13070,2
Initial,"Vehicle, Stolen, Mobile Home or House Trailer",Motor Vehicle Theft,II,Motor Vehicle Theft,07024,2
Initial,Assault or Attempted Murder Upon Gov't Officers,Aggravated Assault,II,Assault,04076,2
Vehicle Supplement,"Robbery, W/ Gun",Robbery - Other,VS,Robbery,03071,2
Initial,"Controlled Substance, Presence Where Used",Drug Violation,II,Drug Offense,16700,2
Vehicle Initial,VIN Switch,Other,VI,Other Miscellaneous,07203,2
Vehicle Initial,"Burglary, Residence Under Constr, Forcible Entry",Burglary - Residential,VI,Burglary,05141,2
Initial,"Records or Returns, False Entries",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09130,2
Initial Supplement,"License Plate, Lost",Other Offenses,IS,Other Offenses,71010,2
Vehicle Supplement,"Theft, Other Property, <$50",Larceny Theft - Other,VS,Larceny Theft,06371,2
Initial Supplement,"Animal, without Proper Care or Attention",Other,IS,Malicious Mischief,28181,2
Initial,Escape or Assisting Escape,Other,II,Other Miscellaneous,26176,2
Initial,"Theft, Boat",,II,,06377,2
Initial,"Armor Penetrating Ammunition, Possession",Weapons Offense,II,Weapons Carrying Etc,12165,2
Vehicle Initial,"Theft, Vehicle Strip, $200-$950",Larceny - Auto Parts,VI,Larceny Theft,06233,2
Vehicle Initial,"Burglary, Store, Forcible Entry",Burglary - Commercial,VI,Burglary,05051,2
Initial Supplement,"Cocaine, Sale",Drug Violation,IS,Drug Offense,16624,2
Vehicle Initial,"Methamphetamine, Possession For Sale",Drug Violation,VI,Drug Offense,16652,2
Initial,Bribery Of Witnesses,Bribery,II,Other Miscellaneous,26062,2
Vehicle Supplement,"Access Card Counterfeiting Machinery, Possession of",Fraud,VS,Fraud,09330,2
Initial,"Riot, Inciting To",Disorderly Conduct,II,Disorderly Conduct,19030,2
Vehicle Initial,"Robbery, W/ Other Weapon",Robbery - Other,VI,Robbery,03073,2
Vehicle Initial,"Theft, From Person, $200-$950 (other than Pickpocket)",Larceny Theft - Other,VI,Larceny Theft,06153,2
Initial,Terrorizing by Marking Private Property,Intimidation,II,Offences Against The Family And Children,15301,2
Vehicle Supplement,"Theft, Other Property, $200-$950",Larceny Theft - Other,VS,Larceny Theft,06373,2
Initial,"Animal, Poisoning of",Other,II,Malicious Mischief,28180,2
Initial,"Theft, Phone Booth, $200-$950",,II,,06353,2
Initial Supplement,"Firearm Transfer, Violation",Weapons Offense,IS,Weapons Offense,12040,2
