mapping_version,source_city,source_file,source_offense_code,source_offense_category,source_offense_description,source_auxiliary,source_severity,canonical_family_code,canonical_offense_family,canonical_subtype_code,canonical_offense_subtype,canonical_domain,canonical_target,is_criminal_event,is_violent,is_property,mapping_confidence,review_required,mapping_note,mapping_action,include_in_model,decision_basis,supporting_incident_rows,supporting_source_mappings,supporting_city_count
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,35B,,PC 46.02 Unlawful Carrying Weapon,,,F14,drug_offense,F14.01,drug_equipment,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02 Unlawful Carrying Weapon,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 46.02 Unlawful Carrying Weapon,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02 Unlawful Carrying Weapon 520 WEAPON LAW V,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02(B) Unl Carrying Weapon / UCW,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02(B) Unl Carrying Weapon / UCW 520 WEAPON L,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02(C) Unl Carrying Weapon on Alchl Prem 520 ,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02(b) Unl Carrying Weapon / UCW,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02(c) UNL CARRYING WEAPON ON ALCOHOL PREMISE,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02(e)(1) UNLAWFUL CARRY WEAPON W/ FELONY CON,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.02(e)(2) UNLAWFUL CARRY WEAPON W/ MISD FAMIL,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.03 Place Weapons Prohibited,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,520,,PC 46.03 Place Weapons Prohibited 520 WEAPON LAW V,,,F15,weapons_offense,F15.01,weapons_violation,society,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
