part_category,category,stat_desc,stat,row_count
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: Fish And Game Violation",393,60
2,MISDEMEANORS MISCELLANEOUS,UNLAWFUL POSSESSION OF A WIRELESS DEVICE IN A CUSTODY FACILITY,695,55
2,OFFENSES AGAINST FAMILY,OFFENSES AGAINST FAMILY: Failure To Provide,173,54
2,VEHICLE / BOATING LAWS,VEHICLE AND BOATING LAWS: Juvenile Zero Tolerance,256,42
2,DISORDERLY CONDUCT,DISORDERLY CONDUCT: Unlawful Assembly/Fail To Disperse,213,37
2,MISDEMEANORS MISCELLANEOUS,MISCELLANEOUS: Hate Crime (Race),520,36
2,SEX OFFENSES FELONIES,SEX FELONIES: Sodomy,128,34
2,DISORDERLY CONDUCT,DISORDERLY CONDUCT: Riot Or Rout,214,33
2,DRUNK DRIVING VEHICLE / BOAT,DRUNK DRIVING - VEHICLE/BOAT:  Alcohol and Marijuana,244,33
2,SEX OFFENSES MISDEMEANORS,EXPLIOTATION OF CHILD VIA INTERNET (MISD),135,33
2,WARRANTS,WARRANTS: Traffic,280,32
2,FEDERAL OFFENSES W/O MONEY,FEDERAL OFFENSES WITHOUT MONEY: Counterfeiting Federal Documents,302,27
2,FEDERAL OFFENSES W/O MONEY,FEDERAL OFFENSES WITHOUT MONEY: All Other Fed Offenses Without Money,308,27
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: Alarm Violations",398,26
2,FELONIES MISCELLANEOUS,IMMIGRATION: False Documents-Use to Conceal True Citizenship-Felony,432,25
2,WEAPON LAWS,WEAPON LAWS: WEAPONS OF MASS DESTRUCTION: Felony ,154,22
2,FELONIES MISCELLANEOUS,HAZARDOUS MATERIALS: Accidental Discharge,512,21
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISC: Manslaughter, Non-Neg Driving (192(c)(2) P.C.)",395,20
1,GRAND THEFT AUTO,GRAND THEFT VEHICLE (GTA): Bus,099,19
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Bribery",336,18
1,FORCIBLE RAPE,"ATTEMPT RAPE BY FORCE, MALE UNDER 18",028,18
2,FELONIES MISCELLANEOUS,"FELONIES, MISC: Manslaughter, Negligent Driving (192(c)(1) P.C.)",338,16
2,MISDEMEANORS MISCELLANEOUS,MISCELLANEOUS: Hate Crime (Religion),522,15
2,DRUNK DRIVING VEHICLE / BOAT,DRUNK DRIVING - VEHICLE/BOAT:  Alcohol/Marijuana (Injury/death),240,13
1,FORCIBLE RAPE,"ATTEMPT RAPE BY FORCE, MALE 18 AND OVER",026,13
1,LARCENY THEFT,ATTEMPT LOCKER BURGLARY,351,12
2,SEX OFFENSES MISDEMEANORS,SEX MISDEMEANORS: Keep/Live House Of Ill Fame,132,12
1,ROBBERY,"ROBBERY, WEAPON: Cargo Hijacking",039,12
2,FRAUD AND NSF CHECKS,DEFRAUDING: Welfare Fraud (Fel Or Misd),163,11
2,DISORDERLY CONDUCT,LOUD PARTY - VERBAL WARNING ISSUED,219,10
2,MISDEMEANORS MISCELLANEOUS,TRANSIT INFRACTION: Fare-Related,610,9
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Solicit To Commit Murder/Rape/Certain Fel",331,8
2,MISDEMEANORS MISCELLANEOUS,MISCELLANEOUS: Hate Crime (Sexual Orientation),523,7
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Bigamy",321,6
2,MISDEMEANORS MISCELLANEOUS,MISCELLANEOUS: Hate Crime (Ethnicity),521,5
