ucr_offense_description,nibrs_crime_category,hate_crime_description,nibrs_crime_against,nibrs_crime,offense_type,nibrs_type,nibrs_code,family_offense,nibrs_group,row_count
,ASSAULT OFFENSES,Anti Other Ethnicity/Natl Origin,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,1
,ASSAULT OFFENSES,Unknown,PERSON,AGG ASSAULT - NFV,,Not Coded,13A,false,A,1
,EMBEZZELMENT,Unknown,PROPERTY,EMBEZZELMENT,,No Coded,270,false,A,1
,HUMAN TRAFFICKING,None,PERSON,"HUMAN TRAFFICKING, COMMERCIAL SEX ACTS",,COD,64A,false,A,1
,BRIBERY,None,PROPERTY,BRIBERY,,No Coded,510,false,A,1
BURGLARY,,Anti White,,,PART1,,,false,,1
FOUND PROPERTY,,Anti Hispanic,,,NOT CODED,,,false,,1
,LARCENY/ THEFT OFFENSES,Anti Black Or African American,PROPERTY,THEFT OF BUILDING,,Coded,23D,false,A,1
NO UCR REPORTABLE OFFENSE,,Unknown,,,NOT CODED,,,false,,1
GAMBLING,GAMBLING OFFENSES,None,SOCIETY,OPERATING/ PROMOTING/ ASSISTING GAMBLING,PART2,No Coded,39B,false,A,1
,ASSAULT OFFENSES,Anti Islamic (Muslim),PERSON,INTIMIDATION,,Coded,13C,false,A,1
BURGLARY,BURGLARY/ BREAKING & ENTERING,Anti White,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,1
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Anti Female Homosexual (Lesbian),PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,1
THEFT,MOTOR VEHICLE THEFT,Unknown,PROPERTY,UUMV,PART1,Coded,240,false,A,1
FOUND PROPERTY,MISCELLANEOUS,Anti Athieism/Agnostic,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,1
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Arab,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,1
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,Anti Am. Indian/Alaskan Native,PROPERTY,UUMV,PART1,Coded,240,false,A,1
OTHER OFFENSES,TRESPASS OF REAL PROPERTY,Anti White,SOCIETY,TRESPASS OF REAL PROPERTY,PART2,90J - No Coded,90J,false,B,1
ROBBERY,ROBBERY,Anti Protestant,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,1
,LARCENY/ THEFT OFFENSES,Anti Homosexual (Gays and Lesbians),PROPERTY,ALL OTHER LARCENY,,Coded,23H,false,A,1
,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,,COD,13C,,A,1
THEFT,,Anti White,,,NOT CODED,,,false,,1
NO UCR REPORTABLE OFFENSE,,,,,NOT CODED,,,,,1
ANIMAL BITE,,,,,PART2,,,,,1
,ANIMAL OFFENSES,None,SOCIETY,ANIMAL CRUELTY,,No Coded,720,,A,1
,DISORDERLY CONDUCT,Anti Female Homosexual (Lesbian),SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,false,B,1
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,PART1,No Coded,23G,false,A,1
OTHER OFFENSES,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,COD,13C,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT FROM MOTOR VEHICLE,NOT CODED,Coded,23F,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,PART1,No Coded,23H,false,A,1
ROBBERY,ROBBERY,Anti Other Ethnicity/Natl Origin,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,PART1,No Coded,23G,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,PURSE-SNATCHING,NOT CODED,Coded,23B,false,A,1
OTHER OFFENSES,TRESPASS OF REAL PROPERTY,,SOCIETY,TRESPASS OF REAL PROPERTY,PART2,90J - No Coded,90J,,B,1
THEFT,LARCENY/ THEFT OFFENSES,Anti Homosexual (Gays and Lesbians),PROPERTY,ALL OTHER LARCENY,PART1,Coded,23H,false,A,1
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Anti Male Homosexual (Gay),PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,1
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,Anti Physical Disability,PROPERTY,UUMV,PART1,Coded,240,false,A,1
ROBBERY,ROBBERY,Anti Male Homosexual (Gay),PROPERTY,ROBBERY-INDIVIDUAL,NOT CODED,No Coded,120,false,A,1
GAMBLING,GAMBLING OFFENSES,None,SOCIETY,BETTING/ WAGERING,PART2,Coded,39A,false,A,1
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,Anti Physical Disability,PROPERTY,UUMV,PART1,Not Coded,240,false,A,1
,HOMICIDE OFFENSES,None,PERSON,JUSTIFIABLE HOMICIDE,,Coded,09C,,A,1
,FRAUD OFFENSES,Unknown,PROPERTY,IMPERSONATION,,Coded,26C,false,A,1
,STOLEN PROPERTY OFFENSES,None,PROPERTY,STOLEN PROPERTY OFFENSES,,No Coded,280,,A,1
THEFT,,Anti Jewish,,,PART1,,,false,,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Asian/Pacific Islander,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,1
AGGRAVATED ASSAULT,,Anti Female Homosexual (Lesbian),,,PART1,,,false,,1
DISORDERLY CONDUCT,,Anti Hispanic,,,PART2,,,false,,1
,MISCELLANEOUS,Anti Transgender,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,1
,MISCELLANEOUS,Anti Black Or African American,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,1
THEFT,LARCENY/ THEFT OFFENSES,,PROPERTY,ALL OTHER LARCENY,NOT CODED,Coded,23H,,A,1
ROBBERY,ROBBERY,,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,,A,1
ASSAULT,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,None,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,1
EMBEZZLEMENT,EMBEZZELMENT,None,PROPERTY,EMBEZZELMENT,PART2,No Coded,270,false,A,1
OTHER OFFENSES,ASSAULT OFFENSES,Anti Black Or African American,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1
MURDER,HOMICIDE OFFENSES,None,PERSON,NEGLIGENT MANSLAUGHTER,,Coded,09B,false,A,1
ASSAULT,ASSAULT OFFENSES,Anti Other Ethnicity/Natl Origin,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1
,BURGLARY/ BREAKING & ENTERING,Anti Multi-Racial Group,PROPERTY,BURGLARY-RESIDENCE,,Coded,220,false,A,1
,PUBLIC INTOXICATION,Anti Arab,SOCIETY,PUBLIC INTOXICATION,,90E - No Coded,90E,false,B,1
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,,A,1
MOTOR VEHICLE ACCIDENT,TRAFFIC VIOLATION - HAZARDOUS,Anti Sikh,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,PART2,999 - No Coded,999,false,C,1
,LARCENY/ THEFT OFFENSES,,PROPERTY,SHOPLIFTING,,No Coded,23C,,A,1
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,PURSE-SNATCHING,,Coded,23B,false,A,1
,DISORDERLY CONDUCT,,SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,,B,1
THEFT,,Anti Arab,,,PART1,,,false,,1
MOTOR VEHICLE ACCIDENT,,,,,PART2,,,,,1
,DRUG/ NARCOTIC VIOLATIONS,,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,No Coded,35A,false,A,1
CRIMINAL MISCHIEF/VANDALISM,,Anti Protestant,,,PART2,,,false,,1
,ASSAULT OFFENSES,Anti Jewish,PERSON,INTIMIDATION,,Not Coded,13C,false,A,1
OTHER OFFENSES,PORNOGRAPHY/ OBSCENE MATERIAL,None,SOCIETY,PORNOGRAPHY/ OBSCENE MATERIAL,PART2,Coded,370,false,A,1
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Multi-Racial Group,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,1
BURGLARY,BURGLARY/ BREAKING & ENTERING,Anti White,PROPERTY,BURGLARY-BUSINESS,PART1,Coded,220,false,A,1
OTHER OFFENSES,DISORDERLY CONDUCT,,SOCIETY,DISORDERLY CONDUCT,PART2,90C - No Coded,90C,,B,1
FRAUD,COUNTERFEITING / FORGERY,Unknown,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,1
TRAFFIC,TRAFFIC VIOLATION - NON HAZARDOUS,Unknown,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - NON HAZARDOUS,PART2,999 - No Coded,999,false,C,1
CHILD (OFFENSES AGAINST),"FAMILY OFFENSES, NONVIOLENT",,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",PART2,90F - No Coded,90F,,B,1
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Female Homosexual (Lesbian),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,1
HOME ACCIDENT,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,,C,1
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Anti Hispanic,PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,1
OTHER OFFENSES,BRIBERY,None,PROPERTY,BRIBERY,PART2,Coded,510,false,A,1
,DRUG/ NARCOTIC VIOLATIONS,Anti White,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,No Coded,35A,false,A,1
ANIMAL CRUELTY,ANIMAL OFFENSES,None,SOCIETY,ANIMAL CRUELTY,PART2,No Coded,720,false,A,1
,LARCENY/ THEFT OFFENSES,,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,,Coded,23G,,A,1
,ASSAULT OFFENSES,Anti White,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,No Coded,290,,A,1
DISORDERLY CONDUCT,,,,,PART2,,,false,,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Homosexual (Gays and Lesbians),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,No Coded,290,false,A,1
,STOLEN PROPERTY OFFENSES,,PROPERTY,STOLEN PROPERTY OFFENSES,,Coded,280,,A,1
THEFT,,Anti Other Religion,,,PART1,,,false,,1
THEFT,,Anti Protestant,,,PART1,,,false,,1
CRIMINAL MISCHIEF/VANDALISM,,Anti Male Homosexual (Gay),,,PART2,,,false,,1
FOUND PROPERTY,,Anti Jewish,,,NOT CODED,,,false,,1
,LARCENY/ THEFT OFFENSES,,PROPERTY,THEFT FROM MOTOR VEHICLE,,Coded,23F,false,A,1
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,,No Coded,220,,A,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,SHOPLIFTING,NOT CODED,Coded,23C,false,A,1
AGGRAVATED ASSAULT,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,1
OTHER OFFENSES,ASSAULT OFFENSES,Anti Arab,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,,PROPERTY,ALL OTHER LARCENY,NOT CODED,No Coded,23H,,A,1
OTHER OFFENSES,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG EQUIPMENT VIOLATIONS,PART2,Coded,35B,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,POCKET-PICKING,NOT CODED,Coded,23A,false,A,1
TRAFFIC,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,PART2,999 - No Coded,999,false,C,1
ASSAULT,ASSAULT OFFENSES,,PERSON,INTIMIDATION,PART2,Coded,13C,,A,1
,ROBBERY,Anti Multi-Religious Group,PROPERTY,ROBBERY-INDIVIDUAL,,Coded,120,false,A,1
,HOMICIDE OFFENSES,None,PERSON,MURDER & NONNEGLIGENT MANSLAUGHTER,,COD,09A,false,A,1
,ASSAULT OFFENSES,Anti Male,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,1
,DRUG/ NARCOTIC VIOLATIONS,Anti Am. Indian/Alaskan Native,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,Coded,35A,false,A,1
,MISCELLANEOUS,Anti Female Homosexual (Lesbian),MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,1
CRIMINAL MISCHIEF/VANDALISM,,Anti Other Ethnicity/Natl Origin,,,PART2,,,false,,1
,ASSAULT OFFENSES,Anti Other Religion,PERSON,INTIMIDATION,,Coded,13C,false,A,1
CRIMINAL MISCHIEF/VANDALISM,,Anti Asian/Pacific Islander,,,PART2,,,false,,1
BURGLARY,,,,,NOT CODED,,,,,1
DISORDERLY CONDUCT,,Anti Male Homosexual (Gay),,,PART2,,,false,,1
OTHER OFFENSES,,Anti Hispanic,,,PART2,,,false,,1
BURGLARY,,Anti Other Religion,,,PART1,,,false,,1
FIREARMS ACCIDENT,,,,,NOT CODED,,,,,1
AGGRAVATED ASSAULT,,Anti Asian/Pacific Islander,,,PART1,,,false,,1
OTHER OFFENSES,DISORDERLY CONDUCT,Unknown,SOCIETY,DISORDERLY CONDUCT,PART2,90C - No Coded,90C,false,B,1
CRIMINAL MISCHIEF/VANDALISM,ALL OTHER OFFENSES,Anti White,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,1
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Anti Black Or African American,PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,1
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Multi-Religious Group,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,1
,HOMICIDE OFFENSES,,PERSON,NEGLIGENT MANSLAUGHTER,,Coded,09B,,A,1
,ASSAULT OFFENSES,Anti Physical Disability,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,1
ASSAULT,ASSAULT OFFENSES,Anti Hispanic,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Female Homosexual (Lesbian),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,1
,TRESPASS OF REAL PROPERTY,Anti White,SOCIETY,TRESPASS OF REAL PROPERTY,,90J - No Coded,90J,false,B,1
,TRESPASS OF REAL PROPERTY,Anti Male Homosexual (Gay),SOCIETY,TRESPASS OF REAL PROPERTY,,90J - No Coded,90J,false,B,1
,FRAUD OFFENSES,,PROPERTY,IDENTITY THEFT,,No Coded,26F,,A,1
FORGERY & COUNTERFEIT,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,PART2,Coded,23H,false,A,1
NARCOTICS/DRUGS,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,PART2,Coded,35A,,A,1
BURGLARY,BURGLARY/ BREAKING & ENTERING,Anti Multi-Racial Group,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,ALL OTHER LARCENY,NOT CODED,No Coded,23H,false,A,1
ASSAULT,ASSAULT OFFENSES,Anti Transgender,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,POCKET-PICKING,PART1,No Coded,23A,false,A,1
WEAPONS,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,PART1,No Coded,520,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF COIN-OPERATED MACHINE OR DEVICE,NOT CODED,Coded,23E,false,A,1
OTHER OFFENSES,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,PART2,Coded,520,false,A,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Male Homosexual (Gay),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,No Coded,290,false,A,1
DRUNK & DISORDERLY,PUBLIC INTOXICATION,,SOCIETY,PUBLIC INTOXICATION,PART2,90E - No Coded,,,B,1
,EXTORTION/ BLACKMAIL,None,PROPERTY,EXTORTION/ BLACKMAIL,,No Coded,210,false,A,1
,ASSAULT OFFENSES,Anti Multi-Racial Group,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,1
CRIMINAL MISCHIEF/VANDALISM,,,,,PART2,,,false,,1
DISORDERLY CONDUCT,,Anti Protestant,,,PART2,,,false,,1
TRAFFIC FATALITY,,Unknown,,,NOT CODED,,,false,,1
BURGLARY,,Anti Other Ethnicity/Natl Origin,,,PART1,,,false,,1
OTHER OFFENSES,STOLEN PROPERTY OFFENSES,None,PROPERTY,STOLEN PROPERTY OFFENSES,PART2,Coded,280,false,A,1
CHILD (OFFENSES AGAINST),"FAMILY OFFENSES, NONVIOLENT",Unknown,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",PART2,90F - No Coded,90F,false,B,1
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,Anti Am. Indian/Alaskan Native,PROPERTY,UUMV,PART1,Not Coded,240,false,A,1
DISORDERLY CONDUCT,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Protestant,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,1
BRIBERY,BRIBERY,None,PROPERTY,BRIBERY,PART2,Coded,510,false,A,1
,ALL OTHER OFFENSES,Anti Other Ethnicity/Natl Origin,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,,90Z - No Coded,90Z,false,B,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti White,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,1
,LARCENY/ THEFT OFFENSES,Anti Hispanic,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,,Coded,23G,false,A,1
