ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,BANK,"TAMPERING 3,2, CRIMINAL",0,7
ARSON,FELONY,(null),N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ARSON 2,3,4",0,7
DISRUPTION OF A RELIGIOUS SERV,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,MOSQUE,"DIS. CON.,AGGRAVATED",0,7
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,(null),TORTURE/INJURE ANIMAL CRUELTY,0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. POLICE DEPT,HOMELESS SHELTER,"MISCHIEF, CRIMINAL 3 & 2, OF M",0,7
BURGLARY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"BURGLARY,RESIDENCE,UNKNOWN TIM",0,7
SEX CRIMES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"SEXUAL MISCONDUCT,INTERCOURSE",0,7
HARRASSMENT 2,VIOLATION,OPPOSITE OF,N.Y. POLICE DEPT,FAST FOOD,"HARASSMENT,SUBD 3,4,5",0,7
OTHER OFFENSES RELATED TO THEF,MISDEMEANOR,(null),N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"THEFT OF SERVICES, UNCLASSIFIE",0,7
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,PUBLIC SCHOOL,"BURGLARY,RESIDENCE,DAY",0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,ATM,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",0,7
CRIMINAL TRESPASS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,"TRESPASS 3, CRIMINAL",0,7
HARRASSMENT 2,VIOLATION,INSIDE,NYC PARKS,PARK/PLAYGROUND,"HARASSMENT,SUBD 1,CIVILIAN",88,7
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,CONSTRUCTION SITE,"BURGLARY,RESIDENCE,UNKNOWN TIM",0,7
DANGEROUS DRUGS,FELONY,REAR OF,N.Y. POLICE DEPT,PARK/PLAYGROUND,"CONTROLLED SUBSTANCE,INTENT TO",0,7
FRAUDS,MISDEMEANOR,FRONT OF,TRI-BORO BRDG TUNNL,TUNNEL,"IMPERSONATION 2, PUBLIC SERVAN",4,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"MISCHIEF, CRIMINAL 4, OF MOTOR",1,7
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. HOUSING POLICE,RESIDENCE-HOUSE,"HARASSMENT,SUBD 3,4,5",2,7
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,FAST FOOD,"BRIBERY,PUBLIC ADMINISTRATION",0,7
GRAND LARCENY,FELONY,REAR OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",2,7
